filename,format,generation,serial_hex,valid
AMD R948G3206U2S.thp,TH40,?,,no
Apacer D12.2324WC.002.thp,TH40,?,,no
Apacer GD2.1542WS.001.thp,TH40,?,,no
Corsair CM2X1024-9136C5D.thp,TH20,?,,no
Corsair CMK16GX4M2K3600C19.thp,TH40,?,,no
Corsair CMK32GX4M2E3200C16.thp,TH40,?,,no
Corsair CMWX16GC3200C16W4.thp,TH40,?,,no
Crucial BL16G30C15U4B.M16FE1.thp,TH40,?,,no
Crucial BL32G32C16U4BL.M16FB.thp,TH40,?,,no
Crucial BL8G30C15U4BL.M8FE1.thp,TH40,?,,no
Crucial BL8G36C16U4W.M8FE1.thp,TH40,?,,no
Crucial BLS4G4D240FSB.8FBD.thp,TH40,?,,no
Crucial BLS8G4D30AESEK.M8FE1.thp,TH40,?,,no
Crucial BLS8G4D32AESBK.M8FE.thp,TH40,?,,no
Crucial BLS8G4D32AESBK.M8FE1.thp,TH40,?,,no
Crucial BLT8G4D26BFT4K.C8FD.thp,TH40,?,,no
Crucial CT4G4DFS824A.C8FF.thp,TH40,?,,no
Crucial CT4G4DFS824A.M8FE.thp,TH40,?,,no
Crucial CT8G4DFS824A.C8FBD1.thp,TH40,?,,no
Crucial CT8G4DFS824A.M8FE.thp,TH40,?,,no
Fujitsu F4-3600C16-16GTRSC.thp,TH20,?,,no
G.Skill F4-2400C15-8GNS.thp,TH40,?,,no
G.Skill F4-2400C15-8GNT.thp,TH40,?,,no
G.Skill F4-2400C17-8GNT.thp,TH40,?,,no
G.Skill F4-3000C16-16GISB.thp,TH40,?,,no
G.Skill F4-3200C16-16GTZR.thp,TH40,?,,no
G.Skill F4-3600C16-16GTZNC (2).thp,TH40,?,,no
G.Skill F4-3800C14-16GTZN.thp,TH40,?,,no
Hynix HMA81GU6AFR8N-UH.thp,TH40,?,,no
Hynix HMA851U6CJR6N-UH.thp,TH40,?,,no
Hynix HMP125U6NFR8C-S6.thp,TH20,?,,no
Kingmax GLAG42F-18----------.thp,TH40,?,,no
Kingston 9905678-024.A00G (1).thp,TH40,?,,no
Kingston 9905678-024.A00G.thp,TH40,?,,no
Kingston 9905678-042.A00G.thp,TH40,?,,no
Kingston 9905702-027.A00G.thp,TH40,?,,no
Kingston 99U5316-058.A00L.thp,TH20,?,,no
Kingston KHX2400C15-8G (1).thp,TH40,?,,no
Kingston KHX2400C15-8G (2).thp,TH40,?,,no
Kingston KHX2400C15-8G (3).thp,TH40,?,,no
Kingston KHX2400C15-8G.thp,TH40,?,,no
Kingston KHX2666C15D4-8G.thp,TH40,?,,no
Kingston KHX2666C16-8G (1).thp,TH40,?,,no
Kingston KHX2666C16-8G (3).thp,TH40,?,,no
Kingston KHX2666C16-8G.thp,TH40,?,,no
Kingston KHX2933C15D4-8GX.thp,TH40,?,,no
Kingston KHX3000C15-16GX (2).thp,TH40,?,,no
Kingston KHX3000C15D4-8GX (1).thp,TH40,?,,no
