filename,format,generation,serial_hex,valid
G.Skill F4-3600C18-32GTZN.thp,TH41,DDR3,0x07009604,yes
G.Skill F4-3866C18-8GTZ.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-4000C16-16GTZR.thp,TH41,DDR4,0x74770A76,yes
GeIL CL19-19-19 D4-2666.thp,TH40,?,,no
Hynix HMA41GR7AFR4N-TF.thp,TH41,DDR4,0x45E6556B,yes
Hynix HMA851S6AFR6N-UH.thp,TH41,DDR4,0x5F52B740,yes
Hynix HMA851U6AFR6N-UH.thp,TH40,?,,no
Hynix HMT125U6BFR8C-H9.thp,TH20,DDR3,0x1562DE01,yes
Hynix HMT125U6DFR8C-H9.thp,TH20,DDR3,0x0B915942,yes
Hynix HYMP112S64CP6-S6.thp,TH20,?,,no
Hynix HYMP112U64CP8-S6.thp,TH20,?,,no
Kingston 9905702-400.A00G.thp,TH40,?,,no
Kingston 99U5474-028.A00LF.thp,TH20,DDR3,0x161A163A,yes
Kingston HP26D4U9S8ME-8.thp,TH40,?,,no
Kingston HP37D4U1S8ME-8XR.thp,TH41,DDR4,0x12AA146A,yes
Kingston KHX1866C10D3-8G.thp,TH20,DDR3,0x7502D649,yes
Kingston KHX1866C9D3-8GX.thp,TH20,DDR3,0x1C311A6C,yes
Kingston KHX2133C14-8G.thp,TH40,?,,no
Kingston KHX2400C15-16G.thp,TH41,DDR4,0xC0C1EE70,yes
Kingston KHX2400C15-8G (2).thp,TH40,?,,no
Kingston KHX2400C15-8G (3).thp,TH40,?,,no
Kingston KHX2400C15-8G (4).thp,TH40,?,,no
Kingston KHX2400C15-8G (5).thp,TH40,?,,no
Kingston KHX2400C15-8G (6).thp,TH40,?,,no
Kingston KHX2400C15-8G.thp,TH40,?,,no
Kingston KHX2400C15D4-4G (1).thp,TH40,?,,no
Kingston KHX2400C15D4-4G.thp,TH41,DDR4,0x654F4BAB,yes
Kingston KHX2666C13-8GX.thp,TH40,?,,no
Kingston KHX2666C15D4-4G.thp,TH41,DDR4,0x66680B72,yes
Kingston KHX2666C16-16G (1).thp,TH40,?,,no
Kingston KHX2666C16-16G.thp,TH41,DDR4,0xF0078B1D,yes
Kingston KHX2666C16D4-16GX (1).thp,TH40,?,,no
Kingston KHX2666C16D4-16GX.thp,TH41,DDR4,0x9BF106DD,yes
Kingston KHX2666C16D4-4G.thp,TH40,?,,no
Kingston KHX2933C15D4-8GX (1).thp,TH40,?,,no
