filename,format,generation,serial_hex,valid
Corsair CMK32GX4M2D3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2E3200C16 (2).thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2E3200C16 (9).thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2E3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2K4133C19.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2Z3600C18 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2Z3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M4A2666C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M4D3600C18 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M4D3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMK4GX4M1A2400C14.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK64GX4M2D3600C18 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMK64GX4M2D3600C18 (2).thp,TH43,DDR4,0x00000000,yes
Corsair CMK64GX4M2D3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMK64GX4M4B3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMK8GX4M1A2400C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK8GX4M1Z3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK8GX4M2A2800C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK8GX4M2D2400C14.thp,TH43,DDR4,0x00000000,yes
Corsair CMN32GX4M2Z3600C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMN32GX4M2Z4600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMN64GX4M4Z3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMR16GX4M2C3000C15.thp,TH43,DDR4,0x00000000,yes
Corsair CMR16GX4M2C3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMSX16GX4M1A2400C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMSX32GX4M1A3200C22.thp,TH43,DDR4,0x00000000,yes
Corsair CMSX32GX4M2A2666C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMSX32GX4M2A3000C16.thp,TH43,DDR4,0x000005EC,yes
Corsair CMT128GX4M4D3600C18 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMT128GX4M4D3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMT16GX4M2C3600C18.thp,TH41,DDR4,0x74770A76,yes
Corsair CMT32GX4M2C3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMT32GX4M2C3466C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMT32GX4M2K4000C19.thp,TH43,DDR4,0x00000000,yes
Corsair CMT32GX4M2Z3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMT32GX4M2Z4000C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMW128GX4M4D3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMW16GX4M2C3000C15 (2).thp,TH43,DDR4,0x00000000,yes
Corsair CMW16GX4M2C3000C15.thp,TH43,DDR4,0x00000000,yes
Corsair CMW16GX4M2C3200C16 (3).thp,TH43,DDR4,0x00000000,yes
Corsair CMW16GX4M2C3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMW16GX4M2D3600C18 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMW16GX4M2D3600C18 (2).thp,TH43,DDR4,0x00000000,yes
Corsair CMW32GX4M2D3600C18 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMW32GX4M2D3600C18 (3).thp,TH43,DDR4,0x00000000,yes
Corsair CMW32GX4M2D3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMW32GX4M2Z3600C14.thp,TH43,DDR4,0x00000000,yes
Corsair CMW32GX4M2Z3600C18 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMW32GX4M2Z3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMW32GX4M4C3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMW32GX4M4D3600C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMW64GX4M2D3600C18 (1).thp,TH41,DDR4,0x74770A76,yes
Corsair CMW64GX4M2D3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMW64GX4M4D3600C18.thp,TH43,DDR4,0x00000000,yes
Corsair CMWX16GC3600C18W2D.thp,TH43,DDR4,0x00000000,yes
Crucial BL16G30C15U4B.M16FE1.thp,TH43,DDR4,0xE5334218,yes
Crucial BL16G30C15U4B.M8FB1.thp,TH43,DDR4,0xE5E763CA,yes
Crucial BL16G32C16U4B.16FE.thp,TH43,DDR4,0xE6458FC0,yes
Crucial BL16G32C16U4B.M16FE1 (1).thp,TH43,DDR4,0x173DA5AC,yes
Crucial BL16G32C16U4B.M16FE1 (2).thp,TH43,DDR4,0xE71D5444,yes
Crucial BL16G32C16U4B.M16FE1.thp,TH43,DDR4,0xE33AFA87,yes
Crucial BL16G32C16U4BL.M16FE.thp,TH43,DDR4,0xE3A66982,yes
Crucial BL16G32C16U4RL.16FE.thp,TH43,DDR4,0xE5F7D267,yes
Crucial BL16G32C16U4W.M16FE1.thp,TH43,DDR4,0xE6364555,yes
Crucial BL16G32C16U4W.M8FE1.thp,TH43,DDR4,0xE3424E11,yes
Crucial BL16G36C16U4B.M16FE1.thp,TH43,DDR4,0xE5709FAF,yes
Crucial BL16G36C16U4B.M8FE1 (1).thp,TH43,DDR4,0x9A170000,yes
Crucial BL16G36C16U4B.M8FE1.thp,TH43,DDR4,0x4D33A5AC,yes
Crucial BL16G36C16U4R.M8FB1 (1).thp,TH43,DDR4,0xE3CB1F6A,yes
Crucial BL16G36C16U4R.M8FB1.thp,TH43,DDR4,0xE39DB287,yes
Crucial BL16G36C16U4RL.M16FE.thp,TH41,DDR4,0x9277940A,yes
Crucial BL16G36C16U4W.M16FE1.thp,TH43,DDR4,0xE6365411,yes
Crucial BL16G36C16U4W.M8FE1.thp,TH43,DDR4,0x5032A5AC,yes
Crucial BL32G32C16U4R.M16FB1.thp,TH41,DDR4,0x9714403F,yes
Crucial BL32G36C16U4BL.M16FB.thp,TH43,DDR4,0xE3AA3E01,yes
Crucial BL4G24C16U4B.8FE.thp,TH41,DDR4,0x902F53CA,yes
Crucial BL8G32C16S4B.M8FE.thp,TH43,DDR4,0xE3BCF528,yes
Crucial BL8G32C16U4B.8FE.thp,TH43,DDR4,0xE62FE3D8,yes
Crucial BL8G32C16U4B.M8FE1 (1).thp,TH43,DDR4,0xE6508B28,yes
Crucial BL8G32C16U4B.M8FE1.thp,TH43,DDR4,0xE4297D39,yes
Crucial BL8G32C16U4BL.M8FE.thp,TH43,DDR4,0xE3BADD31,yes
Crucial BL8G36C16U4B.M8FE1 (1).thp,TH43,DDR4,0xE6367538,yes
Crucial BL8G36C16U4B.M8FE1 (2).thp,TH43,DDR4,0xE5F58C67,yes
Crucial BL8G36C16U4B.M8FE1 (4).thp,TH43,DDR4,0xE38E4C9A,yes
Crucial BL8G36C16U4B.M8FE1.thp,TH43,DDR4,0xE3602A34,yes
Crucial BL8G36C16U4BL.M8FE1.thp,TH43,DDR4,0xE6442D94,yes
Crucial BL8G36C16U4W.M8FE1 (1).thp,TH43,DDR4,0xE6365201,yes
Crucial BL8G36C16U4W.M8FE1.thp,TH43,DDR4,0xE50D1B34,yes
Crucial BL8G36C16U4WL.M8FE1.thp,TH43,DDR4,0xE3A1D618,yes
Crucial BLS16G4D32AESB.M16FE.thp,TH43,DDR4,0xE3008759,yes
Crucial BLS16G4D32AEST.M16FE.thp,TH43,DDR4,0xE2EB12EF,yes
Crucial BLS8G4D240FSB.16FARG.thp,TH43,DDR4,0xA80D31D2,yes
Crucial BLS8G4D30AESCK.M8FE.thp,TH41,DDR4,0x96924398,yes
Crucial CB8GU2666.C8PT.thp,TH43,DDR4,0xE5F3DF91,yes
Crucial CP32G4DFRA32A.M16FF.thp,TH43,DDR4,0xE827C782,yes
Crucial CT16G4DFRA266.C8FE.thp,TH43,DDR4,0xE380092B,yes
Crucial CT16G4DFRA32A.C8FF.thp,TH43,DDR4,0xE7EC4613,yes
Crucial CT16G4DFRA32A.M16FE.thp,TH43,DDR4,0xE81F65B1,yes
Crucial CT16G4DFRA32A.M16FR.thp,TH43,DDR4,0xE813E506,yes
Crucial CT16G4SFD8266.M16FE.thp,TH43,DDR4,0xE25346C3,yes
Crucial CT16G4SFRA32A.C16FR.thp,TH41,DDR4,0x93786FD8,yes
Crucial CT16G4SFRA32A.M16FR.thp,TH43,DDR4,0xE7D48251,yes
Crucial CT16G4SFS8320.C8FD1.thp,TH43,DDR4,0x2149126C,yes
Crucial CT16G4SFS832A.M8FB.thp,TH43,DDR4,0xE63C2D97,yes
Crucial CT32G4DFD832A.C16FF.thp,TH43,DDR4,0xE672D24F,yes
Crucial CT32G4SFD832A.C16FF (1).thp,TH41,DDR4,0x92F427EB,yes
Crucial CT32G4SFD832A.C16FF (4).thp,TH43,DDR4,0xE68AF4F5,yes
Crucial CT32G4SFD832A.C16FF.thp,TH43,DDR4,0xE6832D9D,yes
Crucial CT32G4SFD832A.M16FE.thp,TH43,DDR4,0xE8FC3F5B,yes
Crucial CT32G4SFD832A.M16FF.thp,TH43,DDR4,0xE919AA91,yes
Crucial CT8G4DFRA266.C8FE.thp,TH43,DDR4,0x2DC26437,yes
Crucial CT8G4DFRA32A.M4FE.thp,TH43,DDR4,0xE7F790F3,yes
Crucial CT8G4DFRA32A.M8FR (1).thp,TH43,DDR4,0xE809F2EB,yes
Crucial CT8G4DFRA32A.M8FR.thp,TH43,DDR4,0xE8045459,yes
Crucial CT8G4DFS832A.C8FJ.thp,TH43,DDR4,0xE35C94BB,yes
Crucial CT8G4SFS8320.C8FD1.thp,TH43,DDR4,0x21010000,yes
